2018-06-27 11:23:38 INFO  root:18 - Calculator.subtract(..)
2018-06-27 11:23:38 INFO  root:18 - Calculator.multiply(..)
2018-06-27 11:23:38 INFO  root:18 - Calculator.divide(..)
2018-06-27 11:24:05 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:24:05 EDT 2018]; root of context hierarchy
2018-06-27 11:24:05 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:24:06 INFO  root:18 - Calculator.add(..)
2018-06-27 11:24:06 INFO  root:18 - Calculator.subtract(..)
2018-06-27 11:24:06 INFO  root:18 - Calculator.multiply(..)
2018-06-27 11:24:06 INFO  root:18 - Calculator.divide(..)
2018-06-27 11:28:31 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:28:31 EDT 2018]; root of context hierarchy
2018-06-27 11:28:31 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:28:31 INFO  root:18 - Calculator.add(..)
2018-06-27 11:28:31 INFO  root:40 - 5.0 + 3.6 = 8.6
2018-06-27 11:28:31 INFO  root:18 - Calculator.subtract(..)
2018-06-27 11:28:31 INFO  root:40 - 3.0 - 8.0 = -5.0
2018-06-27 11:28:31 INFO  root:18 - Calculator.multiply(..)
2018-06-27 11:28:31 INFO  root:40 - 4.0 * 8.0 = 32.0
2018-06-27 11:28:31 INFO  root:18 - Calculator.divide(..)
2018-06-27 11:28:31 INFO  root:40 - 5.0 / 3.0 = 1.6666666666666667
2018-06-27 11:33:12 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:33:12 EDT 2018]; root of context hierarchy
2018-06-27 11:33:12 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
2018-06-27 11:33:12 WARN  ClassPathXmlApplicationContext:546 - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'calculator' defined in file [/Users/jayfman/Google Drive/Revature/Assignments/batch-source/SpringCalc/target/classes/com/revature/beans/Calculator.class]: Initialization of bean failed; nested exception is java.lang.IllegalArgumentException: error at ::0 formal unbound in pointcut 
2018-06-27 11:35:01 INFO  ClassPathXmlApplicationContext:578 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@deb6432: startup date [Wed Jun 27 11:35:01 EDT 2018]; root of context hierarchy
2018-06-27 11:35:01 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [beans.xml]
